id,Nombre,email,gender,Ventas,Ventas_normalizadas
85,Blaine Rosendahl,brosendahl2c@wix.com,Femenino,40109.89,0.7522131293466915
86,Hollyanne Ezzell,hezzell2d@pbs.org,Femenino,31871.61,0.5453502249727117
87,Verile Wikey,vwikey2e@domainmarket.com,Masculino,19942.4,0.24580820558430505
88,Nessi Bentley,nbentley2f@sphinn.com,Masculino,15430.49,0.13251431330654767
89,Irving Coyne,icoyne2g@loc.gov,Femenino,38090.81,0.7015141056471552
90,Ardeen Dunster,adunster2h@japanpost.jp,Femenino,29926.212606132074,0.49650136877249873
91,Cy Eckels,ceckels2i@blogger.com,Femenino,45192.79,0.8798445592862542
92,Sybille Tansey,stansey2j@who.int,Femenino,29926.212606132074,0.49650136877249873
93,Taite Grayling,tgrayling2k@wunderground.com,Masculino,31472.62,0.5353316009132995
94,Chiarra Pacey,cpacey2l@alexa.com,Femenino,40416.87,0.7599213857284514
95,Mathilde Frank,mfrank2m@ucsd.edu,Femenino,25515.81,0.3857563233791582
96,Caesar Thorbon,cthorbon2n@nymag.com,Masculino,32332.0,0.5569106007483271
97,Levi Henbury,lhenbury2o@nature.com,Masculino,16568.66,0.16109371967187303
98,Babb Bointon,bbointon2p@chron.com,Masculino,37943.03,0.6978033553438896
99,Lucky Marcussen,lmarcussen2q@odnoklassniki.ru,Femenino,16389.69,0.15659978962873156
100,Josy Edlington,jedlington2r@prnewswire.com,Femenino,28575.84,0.4625935628601553
101,Adan Begent,abegent2s@lycos.com,Masculino,29926.212606132074,0.49650136877249873
102,Eachelle Noice,enoice2t@army.mil,Masculino,29926.212606132074,0.49650136877249873
103,Patsy Turle,pturle2u@senate.gov,Masculino,25937.65,0.3963487100886558
104,Jojo Verson,jverson2v@pen.io,Femenino,29926.212606132074,0.49650136877249873
105,Lutero Arendt,larendt2w@privacy.gov.au,Femenino,29926.212606132074,0.49650136877249873
106,Seth Aneley,saneley2x@spotify.com,Masculino,10616.74,0.011641229855846202
107,Pauly Coote,pcoote2y@tinypic.com,Femenino,41912.52,0.7974771015971692
108,Kristyn Spratley,kspratley2z@cdc.gov,Femenino,16747.21,0.16557710353063648
109,Amy Barhems,abarhems30@google.it,Masculino,35533.3,0.6372951246747318
110,Renata Davitt,rdavitt31@oaic.gov.au,Femenino,46208.75,0.9053552770972279
111,Barby Yakubovich,byakubovich32@printfriendly.com,Masculino,17947.68,0.1957208605786892
112,Salli Davana,sdavana33@gravatar.com,Femenino,18285.06,0.2041924598297093
113,Brannon Allden,ballden34@nyu.edu,Masculino,47527.91,0.9384793356305602
114,Alfons Liebermann,aliebermann35@narod.ru,Femenino,17293.22,0.1792873943215828
115,Alphonso Hinckesman,ahinckesman36@prweb.com,Femenino,40965.18,0.7736894294338482
116,Shelley Leibold,sleibold37@mysql.com,Femenino,18539.86,0.21059047835232442
117,Herby Cobden,hcobden38@sourceforge.net,Femenino,44113.13,0.8527343368446266
118,Corliss Groneway,cgroneway39@economist.com,Masculino,17581.93,0.18653689168290233
119,Aubrette Friary,afriary3a@nifty.com,Femenino,35307.06,0.6316142466898162
120,Robina Nason,rnason3b@engadget.com,Masculino,27647.14,0.439273940403512
121,Gerek Chadbourne,gchadbourne3c@cnbc.com,Masculino,49844.25,0.9966425468733952
122,Denise Wodeland,dwodeland3d@wordpress.org,Femenino,11197.39,0.026221329758344236
123,Bartolemo Galliard,bgalliard3e@google.de,Femenino,41319.62,0.7825894046503149
124,Kellen Coombs,kcoombs3f@sciencedirect.com,Masculino,44445.52,0.8610806373812517
125,Nathalie Snasel,nsnasel3g@mediafire.com,Femenino,35458.95,0.6354281989402087
126,Domeniga Habberjam,dhabberjam3h@time.com,Masculino,48802.34,0.9704802255276418
127,Nannette Winckles,nwinckles3i@zimbio.com,Masculino,32042.0,0.5496287115349896
128,Damara Glassard,dglassard3j@hatena.ne.jp,Masculino,45622.56,0.8906360680007924
129,Albertina Grosvenor,agrosvenor3k@amazon.co.uk,Femenino,29926.212606132074,0.49650136877249873
130,Aron Coombe,acoombe3l@xinhuanet.com,Masculino,29926.212606132074,0.49650136877249873
131,Eva Gyorffy,egyorffy3m@cmu.edu,Femenino,48937.94,0.9738851364839473
132,Ogdon Alcalde,oalcalde3n@java.com,Femenino,40060.95,0.7509842477670335
133,Myrna Muro,mmuro3o@issuu.com,Femenino,29926.212606132074,0.49650136877249873
134,Alard Boughey,aboughey3p@bing.com,Femenino,14111.57,0.09939628116428867
135,Malachi MacAllester,mmacallester3q@microsoft.com,Femenino,29926.212606132074,0.49650136877249873
136,Irita Rozea,irozea3r@addthis.com,Femenino,31544.78,0.5371435358292803
137,Cobb Blaber,cblaber3s@liveinternet.ru,Masculino,18716.52,0.2150264043813872
138,Jayme Meiner,jmeiner3t@istockphoto.com,Femenino,26789.84,0.4177471692911181
139,Lorilyn Aspenlon,laspenlon3u@rambler.ru,Masculino,10849.76,0.01749235338857691
140,Hartley Donaghy,hdonaghy3v@umn.edu,Masculino,20380.47,0.25680812699012145
141,Dianna Gheeraert,dgheeraert3w@wisc.edu,Femenino,40636.82,0.7654443220473256
142,Papagena Cunnell,pcunnell3x@simplemachines.org,Masculino,43594.62,0.8397145700308074
143,Lief Goldfinch,lgoldfinch3y@pbs.org,Femenino,20853.84,0.2686944300829407
144,Hanan Francom,hfrancom3z@qq.com,Masculino,34958.69,0.6228666889475737
145,Law Marshland,lmarshland40@com.com,Masculino,29926.212606132074,0.49650136877249873
146,Edsel Fitzpayn,efitzpayn41@nymag.com,Femenino,29926.212606132074,0.49650136877249873
147,Babb Marsham,bmarsham42@umich.edu,Masculino,29926.212606132074,0.49650136877249873
148,Carlynn Gallehawk,cgallehawk43@vimeo.com,Femenino,21036.61,0.2732837779847397
149,Brion Gilvear,bgilvear44@usda.gov,Masculino,40609.25,0.7647520403728024
150,Eugenie Bickerdicke,ebickerdicke45@free.fr,Femenino,14556.54,0.11056946131345696
151,Terra Brandenberg,tbrandenberg46@macromedia.com,Masculino,47059.63,0.9267208422484162
152,Kathye Delleschi,kdelleschi47@icq.com,Masculino,36245.54,0.6551794445826887
153,Chiquia Garred,cgarred48@cbslocal.com,Masculino,29926.212606132074,0.49650136877249873
154,Drugi Barribal,dbarribal49@cnn.com,Masculino,11985.34,0.04600672495023833
155,Joe Golson,jgolson4a@va.gov,Masculino,13350.36,0.08028232637778993
156,Talia Park,tpark4b@nih.gov,Femenino,20279.48,0.2542722718464837
157,Kip Vasnetsov,kvasnetsov4c@flickr.com,Femenino,27767.07,0.4422853782426691
158,Gayler Frost,gfrost4d@cnbc.com,Femenino,29926.212606132074,0.49650136877249873
159,Kylila Gersam,kgersam4e@salon.com,Femenino,24782.82,0.36735097174300546
160,Tony Dillinton,tdillinton4f@newsvine.com,Femenino,41604.52,0.7897432330533488
161,Bryana Tungate,btungate4g@com.com,Masculino,37307.75,0.6818514981733756
162,Ashlan Codi,acodi4h@sciencedirect.com,Femenino,33917.2,0.5967149137861981
163,Charity Wrathall,cwrathall4i@mapquest.com,Femenino,42214.54,0.8050608125634183
164,Charmine Moseley,cmoseley4j@sbwire.com,Femenino,17775.42,0.1913954183859667
165,Maddie Morilla,mmorilla4k@imdb.com,Masculino,22616.94,0.3129658055037522
166,Verne Kurdani,vkurdani4l@boston.com,Masculino,41206.72,0.7797544898496741
167,Brittani Liddicoat,bliddicoat4m@sitemeter.com,Femenino,29926.212606132074,0.49650136877249873
168,Nealon Domenici,ndomenici4n@reddit.com,Femenino,49372.36,0.9847934065255269
169,Greggory Kubacki,gkubacki4o@tumblr.com,Masculino,29926.212606132074,0.49650136877249873
170,Garth Piele,gpiele4p@nsw.gov.au,Femenino,37649.95,0.6904441274451139
171,Marice Walshe,mwalshe4q@icq.com,Masculino,31983.64,0.5481632941057124
172,Paul Fearns,pfearns4r@gizmodo.com,Masculino,25189.87,0.3775719821026229
173,Milicent Rhoddie,mrhoddie4s@g.co,Masculino,18868.28,0.21883709233661508
174,Auberta Champken,achampken4t@who.int,Masculino,19459.66,0.23368662214000657
175,Bealle Jacson,bjacson4u@ucoz.com,Femenino,41385.61,0.7842464110957911
176,Andriette Abrashkin,aabrashkin4v@google.ca,Femenino,46450.87,0.9114349012914807
177,Danna Woodroffe,dwoodroffe4w@mit.edu,Masculino,38192.53,0.7040682910636403
178,Carey Thicking,cthicking4x@sourceforge.net,Femenino,49410.4,0.9857485895106143
179,Bella Grief,bgrief4y@tripadvisor.com,Masculino,44010.73,0.8501630766534346
180,Osbert Eefting,oeefting4z@pinterest.com,Femenino,19833.49,0.24307347953525477
181,Roseann Wonter,rwonter50@tinyurl.com,Masculino,45130.63,0.8782837239983196
182,Niles Lesly,nlesly51@tinypic.com,Masculino,13976.73,0.09601045377971479
183,Timothea Dumbare,tdumbare52@xing.com,Femenino,35377.95,0.6333942919530352
184,Kristina Leyrroyd,kleyrroyd53@redcross.org,Femenino,25323.35,0.38092365993778243
185,Jsandye Gilhouley,jgilhouley54@wufoo.com,Masculino,43401.66,0.8348693516080296
186,Heddi Snar,hsnar55@biblegateway.com,Masculino,29926.212606132074,0.49650136877249873
187,Alexander Scraggs,ascraggs56@elpais.com,Masculino,25129.87,0.3760653843343461
188,Hadrian Janek,hjanek57@aol.com,Femenino,35227.47,0.6296157447501973
189,Marline Beenham,mbeenham58@zdnet.com,Masculino,37634.5,0.6900561785197827
190,Nicolai Scoggin,nscoggin59@bloglines.com,Femenino,16099.44,0.14931162292469297
191,Kippy Pedican,kpedican5a@prlog.org,Masculino,29926.212606132074,0.49650136877249873
192,Townie Stelli,tstelli5b@boston.com,Femenino,29926.212606132074,0.49650136877249873
193,Dallas Burriss,dburriss5c@gmpg.org,Masculino,11984.83,0.04599391886920795
194,Celesta Kidner,ckidner5d@ehow.com,Femenino,22864.81,0.31918981198413154
195,Peadar Stambridge,pstambridge5e@moonfruit.com,Masculino,29926.212606132074,0.49650136877249873
196,Freddie Bowller,fbowller5f@sitemeter.com,Femenino,31473.17,0.535345411392842
197,Stella Gear,sgear5g@alexa.com,Masculino,22666.29,0.31420498216815995
198,Toddie Kleinbaum,tkleinbaum5h@a8.net,Femenino,29926.212606132074,0.49650136877249873
199,Stearne Nutbrown,snutbrown5i@skype.com,Femenino,29926.212606132074,0.49650136877249873
200,Enrico Ulyet,eulyet5j@seesaa.net,Femenino,13158.65,0.07546849540851774
201,Luisa Vlasenko,lvlasenko5k@ox.ac.uk,Masculino,21768.14,0.2916524690751975
202,Kathi Reynault,kreynault5l@goodreads.com,Masculino,25545.87,0.38651112886106476
203,Oliver Jikovsky,ojikovsky5m@icq.com,Femenino,20066.84,0.248932889355711
204,Andrus Pridmore,apridmore5n@behance.net,Masculino,37273.42,0.6809894731502933
205,Gael Somerlie,gsomerlie5o@washington.edu,Femenino,38479.29,0.7112688239974909
206,Catrina Tuerena,ctuerena5p@histats.com,Masculino,31828.51,0.5442679855758329
207,Stephi Slowgrove,sslowgrove5q@reverbnation.com,Masculino,38743.6,0.7179056382663779
208,Pippa Chattington,pchattington5r@instagram.com,Masculino,29926.212606132074,0.49650136877249873
209,Isaiah Saurin,isaurin5s@discuz.net,Femenino,48161.59,0.9543910168605866
210,Frederica Greenshields,fgreenshields5t@vistaprint.com,Masculino,10342.47,0.004754320357425235
211,Leontine Jacobsohn,ljacobsohn5u@joomla.org,Femenino,29926.212606132074,0.49650136877249873
212,Adria Haspineall,ahaspineall5v@dagondesign.com,Femenino,14588.57,0.11137373342208867
213,Rutherford Cuniffe,rcuniffe5w@webnode.com,Femenino,28283.56,0.4552544229316233
214,Coraline Boggis,cboggis5x@examiner.com,Femenino,29926.212606132074,0.49650136877249873
215,Karoly Flooks,kflooks5y@woothemes.com,Femenino,32678.88,0.5656207446459909
216,Iris Maycey,imaycey5z@noaa.gov,Femenino,44585.02,0.8645834771924951
217,Michel Maund,mmaund60@cam.ac.uk,Femenino,38942.86,0.722909049454825
218,Iago Drury,idrury61@techcrunch.com,Femenino,34141.28,0.6023415542514556
219,Glen Weiser,gweiser62@omniture.com,Masculino,29926.212606132074,0.49650136877249873
220,Savina Studart,sstudart63@twitpic.com,Masculino,30729.98,0.5166839381360824
221,Ricki Martynikhin,rmartynikhin64@patch.com,Masculino,21878.43,0.29442184687291817
222,Albina Rayburn,arayburn65@qq.com,Femenino,43052.95,0.8261132564784329
223,Kakalina Reany,kreany66@unicef.org,Masculino,16057.61,0.14826127318057603
224,Coralyn Pauletti,cpauletti67@live.com,Femenino,29926.212606132074,0.49650136877249873
225,Cassandry Tather,ctather68@deviantart.com,Femenino,22479.99,0.30952699609766066
226,Josie Harry,jharry69@studiopress.com,Femenino,19713.86,0.240069574684939
227,Windham Fredy,wfredy6a@economist.com,Femenino,29926.212606132074,0.49650136877249873
228,Conny Yekel,cyekel6b@mozilla.org,Femenino,29508.69,0.4860173916624376
229,Rae Cracknell,rcracknell6c@hc360.com,Masculino,24748.96,0.3665007484024413
230,Kerianne Dennett,kdennett6d@about.me,Masculino,12995.85,0.07138059346392689
231,Artemas Khadir,akhadir6e@springer.com,Femenino,19594.18,0.237064414336483
232,Gardy Danit,gdanit6f@youku.com,Femenino,19505.98,0.2348497156171162
233,Oswald Bedlington,obedlington6g@furl.net,Femenino,27767.53,0.44229692882555927
234,Jeniece Pittman,jpittman6h@ucsd.edu,Femenino,28737.69,0.4666576103400817
235,Darn Messenbird,dmessenbird6i@rakuten.co.jp,Masculino,12224.73,0.05201779894603442
236,Stefania Fysh,sfysh6j@accuweather.com,Masculino,39809.32,0.7446658278265091
237,Ermin Scallon,escallon6k@last.fm,Femenino,29926.212606132074,0.49650136877249873
238,Giffie Chidler,gchidler6l@hexun.com,Femenino,16476.79,0.15878686738901332
239,Rachel Kunz,rkunz6m@reference.com,Masculino,17739.18,0.1904854333339276
240,Willow Huyge,whuyge6n@last.fm,Masculino,31698.58,0.5410054481086297
241,Mattheus Wightman,mwightman6o@google.es,Masculino,29590.66,0.4880756553135317
242,Penny Bloys,pbloys6p@unesco.org,Femenino,29926.212606132074,0.49650136877249873
243,Bevon Stubbings,bstubbings6q@usnews.com,Masculino,46294.42,0.907506447610699
244,Bartholemy Draco,bdraco6r@youtube.com,Femenino,42120.5,0.8026994716612726
245,Lotta Degnen,ldegnen6s@github.com,Masculino,31933.05,0.546892981087427
246,Dawna Jeffree,djeffree6t@mac.com,Femenino,20374.03,0.2566464188296598
247,Thor Cashin,tcashin6u@blogs.com,Masculino,22632.04,0.3133449659421019
248,Giulio Peckett,gpeckett6v@g.co,Masculino,37072.79,0.675951661312804
249,Roshelle Guisler,rguisler6w@ucoz.com,Femenino,29926.212606132074,0.49650136877249873
250,Kerrill Paoloni,kpaoloni6x@typepad.com,Masculino,43378.23,0.8342810251795173
251,Shelba De la Perrelle,sde6y@youku.com,Masculino,26377.26,0.4073873008371912
252,Rosemaria Jeanes,rjeanes6z@yahoo.com,Masculino,16229.59,0.15257968458371324
253,Farley Marnes,fmarnes70@ucoz.ru,Masculino,14415.05,0.10701665267623234
254,Nicko Gascoine,ngascoine71@jigsy.com,Masculino,49803.46,0.9956183114905951
255,Debbi Deane,ddeane72@patch.com,Masculino,35597.52,0.6389076864860439
256,Brewer Trevethan,btrevethan73@webeden.co.uk,Masculino,20956.51,0.27127246996409016
257,Cissy Biever,cbiever74@mashable.com,Masculino,25321.13,0.3808679158203563
258,Vikki Lilywhite,vlilywhite75@engadget.com,Femenino,28708.22,0.4659176197362299
259,Jerad Orrocks,jorrocks76@constantcontact.com,Femenino,29926.212606132074,0.49650136877249873
260,Channa Neylon,cneylon77@china.com.cn,Masculino,39011.79,0.7246398791909469
261,Andrej Dimitriades,adimitriades78@furl.net,Masculino,41334.57,0.7829647985942437
262,Karlik Storr,kstorr79@scribd.com,Masculino,28829.81,0.4689707401136427
263,Ebba Newis,enewis7a@oracle.com,Femenino,39885.75,0.7465849822836658
264,Arturo Digle,adigle7b@jiathis.com,Femenino,28483.29,0.4602696358025885
265,Bard Belfrage,bbelfrage7c@bizjournals.com,Femenino,44996.04,0.8749041741044469
266,Dniren Southgate,dsouthgate7d@whitehouse.gov,Masculino,27423.18,0.4336503131337911
267,Corrina Stroban,cstroban7e@reuters.com,Masculino,18834.72,0.21799440198489234
268,Shelton Simnor,ssimnor7f@abc.net.au,Masculino,44099.22,0.8523850572620145
269,Gerti Lilly,glilly7g@noaa.gov,Masculino,34067.8,0.6004964741845729
270,Kaye Dangl,kdangl7h@fc2.com,Femenino,35340.29,0.6324486507538136
271,Witty Culpin,wculpin7i@vimeo.com,Masculino,25894.59,0.39526747509028914
272,Krystle Aseef,kaseef7j@buzzfeed.com,Femenino,44853.88,0.8713345417921431
273,Elsie Piotr,epiotr7k@zdnet.com,Masculino,22426.26,0.3081778377961688
274,Sunshine Clementson,sclementson7l@netlog.com,Femenino,31956.11,0.5474720168297015
275,Ruddie Diggar,rdiggar7m@ovh.net,Masculino,21808.06,0.2926548587903577
276,Wallace Rodell,wrodell7n@eventbrite.com,Masculino,24412.48,0.3580517481179455
277,Tybie Vaskov,tvaskov7o@dell.com,Femenino,34925.83,0.6220415755698141
278,Blakelee Hassall,bhassall7p@sun.com,Femenino,29926.212606132074,0.49650136877249873
279,Dilly Connichie,dconnichie7q@bigcartel.com,Masculino,24866.94,0.3694632218141295
280,Aviva Aslott,aaslott7r@aol.com,Masculino,29702.43,0.4908821958562032
281,Rubina Sockell,rsockell7s@patch.com,Femenino,29926.212606132074,0.49650136877249873
282,Dwain Dunstone,ddunstone7t@mit.edu,Masculino,29386.58,0.4829512141043666
283,Jean Manach,jmanach7u@reuters.com,Masculino,43944.28,0.848494519625068
284,Steffane Layburn,slayburn7v@bluehost.com,Masculino,40540.85,0.763034518916967
285,Susann Freak,sfreak7w@huffingtonpost.com,Masculino,26573.75,0.4123211574286695
286,Jervis Clemendet,jclemendet7x@cyberchimps.com,Masculino,49340.3,0.9839883811180111
287,Brian Giacopetti,bgiacopetti7y@nba.com,Masculino,29926.212606132074,0.49650136877249873
288,Kari Venmore,kvenmore7z@princeton.edu,Masculino,43733.19,0.8431940575766425
289,Cacilie Burridge,cburridge80@nifty.com,Masculino,34008.99,0.5990197572720335
290,Aurie Odo,aodo81@yandex.ru,Masculino,27773.88,0.4424563770893686
291,Christophe Thow,cthow82@tripod.com,Masculino,43397.87,0.8347741848489999
292,Corri Lanahan,clanahan83@europa.eu,Femenino,13683.61,0.0886502214824269
293,Corina Arsnell,carsnell84@va.gov,Masculino,45639.04,0.8910498801878125
294,Gill Shelborne,gshelborne85@princeton.edu,Masculino,48476.9,0.9623084392325089
295,Pacorro Hogbin,phogbin86@reverbnation.com,Femenino,29926.212606132074,0.49650136877249873
296,Chariot Pettinger,cpettinger87@privacy.gov.au,Masculino,10465.36,0.007840083686484034
297,Coretta Belvard,cbelvard88@flickr.com,Masculino,36271.19,0.655823515128627
298,Felice Haggata,fhaggata89@mapy.cz,Femenino,47319.82,0.9332542034705483
299,Durante Drewery,ddrewery8a@xrea.com,Masculino,27192.7,0.42786296890658415
300,Micky Dranfield,mdranfield8b@shutterfly.com,Femenino,47953.26,0.9491598583095019
301,Bendix McTeggart,bmcteggart8c@unicef.org,Masculino,44296.68,0.8573432705174132
302,Megen Frohock,mfrohock8d@xing.com,Femenino,27602.25,0.438146754173213
303,Evita Kellington,ekellington8e@liveinternet.ru,Femenino,41103.33,0.7771583707953053
304,Hardy Fritschmann,hfritschmann8f@spiegel.de,Femenino,27068.84,0.4247528489136049
305,Solly Le Fevre,sle8g@blogtalkradio.com,Femenino,41854.58,0.79602223035227
306,Lemmie Cicconetti,lcicconetti8h@wikia.com,Masculino,41029.08,0.775293956057063
307,Sapphira Jindrich,sjindrich8i@gnu.org,Masculino,23330.31,0.3308784996696784
308,Reed Corrado,rcorrado8j@altervista.org,Masculino,29926.212606132074,0.49650136877249873
309,Roana Ivey,rivey8k@studiopress.com,Masculino,29446.03,0.4844440013931006
310,Mikaela Bush,mbush8l@unicef.org,Masculino,19394.45,0.23204920146551788
311,Wilmette Stelljes,wstelljes8m@berkeley.edu,Femenino,19094.24,0.22451093953194529
312,Miller Briance,mbriance8n@state.gov,Masculino,31590.63,0.5382948276238718
313,Wyn Pennings,wpennings8o@chicagotribune.com,Masculino,31905.33,0.5461969329184833
